,연도,지출코드,지출목적,소비자물가지수,소득계층,가구형태,가계지출
480,2012,2,주류 및 담배,63.402,전체,전체가구,25760.0
504,2013,2,주류 및 담배,64.46,전체,전체가구,25515.0
528,2014,2,주류 및 담배,64.413,전체,전체가구,25099.0
552,2015,2,주류 및 담배,96.674,전체,전체가구,29250.0
576,2016,2,주류 및 담배,97.338,전체,전체가구,30582.0
600,2017,2,주류 및 담배,98.805,전체,전체가구,34813.0
624,2018,2,주류 및 담배,99.063,전체,전체가구,35028.0
648,2019,2,주류 및 담배,99.682,전체,전체가구,35802.0
672,2020,2,주류 및 담배,100.0,전체,전체가구,37531.0
696,2021,2,주류 및 담배,100.43,전체,전체가구,39040.0
1200,2012,5,가정용품 및 가사 서비스,88.743,전체,전체가구,82562.0
1224,2013,5,가정용품 및 가사 서비스,88.98,전체,전체가구,85858.0
1248,2014,5,가정용품 및 가사 서비스,90.872,전체,전체가구,90116.0
1272,2015,5,가정용품 및 가사 서비스,93.225,전체,전체가구,88899.0
1296,2016,5,가정용품 및 가사 서비스,94.673,전체,전체가구,92344.0
1320,2017,5,가정용품 및 가사 서비스,95.712,전체,전체가구,112030.0
1344,2018,5,가정용품 및 가사 서비스,97.875,전체,전체가구,117115.0
1368,2019,5,가정용품 및 가사 서비스,99.967,전체,전체가구,115323.0
1392,2020,5,가정용품 및 가사 서비스,100.0,전체,전체가구,126729.0
1416,2021,5,가정용품 및 가사 서비스,101.87,전체,전체가구,130028.0
1680,2012,7,교통,110.852,전체,전체가구,260489.0
1704,2013,7,교통,110.267,전체,전체가구,264986.0
1728,2014,7,교통,108.496,전체,전체가구,282265.0
1752,2015,7,교통,99.99,전체,전체가구,271141.0
1776,2016,7,교통,97.775,전체,전체가구,254670.0
1800,2017,7,교통,101.277,전체,전체가구,369150.0
1824,2018,7,교통,103.727,전체,전체가구,348808.0
1848,2019,7,교통,101.867,전체,전체가구,295974.0
1872,2020,7,교통,100.0,전체,전체가구,288848.0
1896,2021,7,교통,106.33,전체,전체가구,286749.0
2160,2012,9,오락 및 문화,97.964,전체,전체가구,118631.0
2184,2013,9,오락 및 문화,98.968,전체,전체가구,121720.0
2208,2014,9,오락 및 문화,99.392,전체,전체가구,126351.0
2232,2015,9,오락 및 문화,98.906,전체,전체가구,128260.0
2256,2016,9,오락 및 문화,100.729,전체,전체가구,129494.0
2280,2017,9,오락 및 문화,100.781,전체,전체가구,174693.0
2304,2018,9,오락 및 문화,101.272,전체,전체가구,191772.0
2328,2019,9,오락 및 문화,101.023,전체,전체가구,180301.0
2352,2020,9,오락 및 문화,100.0,전체,전체가구,139539.0
2376,2021,9,오락 및 문화,100.43,전체,전체가구,142607.0
